model,accuracy,training_time_sec,estimated_training_kwh,estimated_training_kgco2,estimated_annual_kgco2_saved,estimated_net_annual_kgco2_benefit
MobileNetV2,0.8333333333333334,24.091139793395996,0.0005018987456957499,0.00020075949827829998,20075.0,20074.9997992405
ResNet50,0.5133333333333333,24.96715259552002,0.0005201490124066671,0.00020805960496266684,0.0,-0.00020805960496266684
EfficientNetB0,0.5,44.550628423690796,0.0009281380921602249,0.00037125523686409,0.0,-0.00037125523686409
