model,accuracy,macro_f1,latency_ms_per_image,model_size_mb,parameters_million,edge_deployment_score
MobileNetV2,0.8333333333333334,0.8332666399893291,2.9921992619832354,9.198790550231934,2.260546,0.7427809797633155
EfficientNetB0,0.5,0.3333333333333333,3.0000575383504233,16.279486656188965,4.052133,0.4191833590380956
ResNet50,0.5133333333333333,0.37281631250357977,3.3582417170206704,90.65025615692139,23.59181,0.2645932208943106
