class,precision,recall,f1-score,support,error_rate
O,0.8472222222222222,0.8133333333333334,0.8299319727891157,75.0,0.18666666666666665
R,0.8205128205128205,0.8533333333333334,0.8366013071895425,75.0,0.1466666666666666
